game_id,title,release_date,esrb,console,metascore,user_score,sales_mil,details
852,Pillars of Eternity: Complete Edition,2019-08-08,M,Switch,82,7.1,,"Created by and for role-playing fans by Obsidian Entertainment and adapted by Paradox Arctic — together bringing Pillars’ fantastical world, tactical combat, and unforgettable story to you."
853,Clubhouse Games: 51 Worldwide Classics,2020-06-05,E,Switch,82,7.7,4.640,"Play and discover 51 board games, tabletop games, and more all in one package -- Clubhouse Games: 51 Worldwide Classics."
854,Gnosia,2021-03-04,T,Switch,82,8.4,,"The Gnosia lie. Pretending to be human, they’ll get in close, trick and deceive, and then eliminate one victim at a time..."
855,Victor Vran: Overkill Edition,2018-08-28,M,Switch,82,7.2,0.060,"Become Victor, hunter of demons. Forge your own hero on a quest to liberate the cursed city of Zagoravia."
856,Cyber Shadow,2021-01-26,E10+,Switch,82,7.2,,The world has been taken over by synthetic lifeforms. A desperate plea for help sets Shadow on a journey to uncover what started the path to perpetual ruin.
857,Unravel Two,2019-03-22,E,Switch,82,7.7,,"In Unravel 2, you play as two Yarnys (tiny magical creatures made of yarn and joined by a thread) in a puzzle-platforming adventure."
897,A Highland Song,2023-12-05,E,Switch,81,,,"A Highland Song is a narrative adventure game from inkle, the creators of 80 Days, Heaven''s Vault, and last year''s surprise hit Overboard!"
858,Captain Toad: Treasure Tracker,2018-07-13,E,Switch,82,8.6,2.350,"The intrepid Captain Toad sets off on his own adventure for the very first time through a wide variety of tricky, enemy-infested, maze-like stages to find hidden gems and nab elusive gold stars."
859,Arcade Paradise,2022-08-11,T,Switch,82,6.4,,"Play, profit and purchase new arcade machines, with over 35 to choose from, to build your very own Arcade Paradise!"
860,ASTLIBRA Revision,2023-11-16,M,Switch,82,,,ASTLIBRA Revision is a side scrolling 2D action RPG.
861,Wandersong,2018-09-27,E10+,Switch,82,8.2,,A musical adventure where you use singing to save the world!
862,RIVE,2017-11-17,E10+,Switch,82,7.0,,RIVE’s unique 360-degree shooter/platformer hybrid lets you choreograph a ‘dance of destruction’.
863,Azure Striker Gunvolt: Striker Pack,2017-11-21,T,Switch,82,8.0,0.060,Gunvolt is back and hitting store shelves for the first time in the new Azure Striker Gunvolt: Striker Pack!
864,Final Fantasy VII,2019-03-26,T,Switch,81,8.3,,An evil and powerful corporation is slowly draining life from the planet in an effort to control the universe.
865,Umurangi Generation,2021-06-05,T,Switch,81,7.9,,Umurangi Generation is a first person photography game in the shitty future.
866,Dragon Quest Builders,2018-02-09,E10+,Switch,81,8.1,0.220,Dragon Quest Builders returns to Alefgard—a land laid low by the evil Dragonlord.
867,Cytus Alpha,2019-04-25,T,Switch,81,8.2,,"Cytus Alpha is the evolutionary version of the popular mobile game, Cytus."
868,Live A Live,2022-07-22,T,Switch,81,7.5,0.500,"Seven different stories featuring different protagonists, time periods, and gameplay styles await."
869,Super One More Jump,2018-01-25,E,Switch,81,8.4,,Super One More Jump is a hand-crafted intense arcade platformer.
870,Oxenfree,2017-10-06,T,Switch,81,7.7,,Oxenfree is a supernatural thriller about a gaggle of friends who inadvertently open a ghostly rift.
871,The Kids We Were,2021-12-02,E,Switch,81,,,"The Kids We Were is an adventure game originally released worldwide for smartphones in February, 2020."
872,Contra Anniversary Collection,2019-06-11,E10+,Switch,81,6.4,,The Contra Anniversary Collection brings this classic Run and Gun franchise back to modern platforms and a new generation of players.
873,Tokyo Mirage Sessions #FE Encore,2020-01-17,T,Switch,81,6.3,,The worlds of the Fire Emblem series and Atlus games have crossed paths again and the result is coming to the Nintendo Switch system.
874,Teslagrad,2017-12-07,E,Switch,81,7.8,,"Teslagrad is a 2D puzzle-platformer in which you play as a young lad who suddenly finds himself embroiled in an ancient conflict that will shake the foundations of his entire existence, and bring a gruesome truth to light."
875,Paradise Killer,2020-09-04,M,Switch,81,7.7,,Gather evidence and interrogate suspects in this open world adventure.
